127.0.0.1 - - [07/Jun/2018:20:46:04 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:46:05 -0500] "GET /SpringMVCUserReg/ HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:46:10 -0500] "GET /SpringMVCUserReg/hello?name=&password=&button=Login HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:46:19 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:46:23 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:46:31 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:47:45 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:47:49 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:47:52 -0500] "GET /SpringMVCUserReg/index.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:47:54 -0500] "GET /SpringMVCUserReg/hello?name=&password=&button=Login HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:47:57 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
