127.0.0.1 - - [22/May/2018:18:07:01 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:03 -0500] "GET /SpringMVCUserReg/ HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:07 -0500] "GET /SpringMVCUserReg/hello?name=&password=&button=Login HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:11 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:20 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:46 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:49 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:51 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [22/May/2018:18:07:57 -0500] "GET /SpringMVCUserReg/index.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [22/May/2018:18:16:27 -0500] "GET /SpringMVCUserReg/hello?name=&password=&button=Login HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [22/May/2018:18:16:30 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [22/May/2018:18:17:36 -0500] "GET /SpringMVCUserReg/Index.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [22/May/2018:18:17:44 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [22/May/2018:18:17:46 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [22/May/2018:18:17:46 -0500] "GET /SpringMVCUserReg/userlist HTTP/1.1" 200 607
